antigen,trav_1,trav_2,trav_3,trav_4,trav_5,trav_6,trav_7,trav_8,trav_9,trav_10,trav_11,trav_12,trav_13,trav_14,trav_15,trav_16,trav_17,trav_18,trav_19,trav_20,trav_21,trav_22,trav_23,trav_24,trav_25,trav_26,trav_27,trav_28,trav_29,trav_30,trav_31,trav_32,trav_33,trav_34,trav_35,trav_36,trav_37,trav_38,trav_39,trav_40,trav_41,trav_42,trav_43,trav_44,trav_45,trav_46,trav_47,trav_48,trav_49,trav_50,trav_51,trav_52,trav_53,trav_54,trav_55,trav_56,trav_57,trav_58,trav_59,trav_60,trav_61,trav_62,trav_63,trav_64
PF3D7_1462300,992.864351040427,726.311240890538,481.028676875413,1144.08083651989,767.238530425126,10618.1603046114,634.955350994266,658.615962944396,1931.88396509467,2274.6924624485,1431.62776456226,1289.05182525036,5307.817048925,1808.26931214075,1288.17110391813,2324.47448586689,1726.1191425144,1599.45326202486,1186.2208297754,848.096584174878,766.01634895182,648.710887782778,1685.73938191406,755.089187311619,833.78293622302,2014.13080760762,860.110021173953,504.131084077955,321.009487759646,748.005856440932,1109.85006221413,691.188006299621,2795.8730161136,810.184937304084,663.376400477582,686.29988762939,431.123904610334,673.071758484534,727.841020882954,501.777523547049,1721.73578863272,1222.88880265621,2915.56806028691,2176.94178599566,1848.4290177901,1321.08793387107,962.011326956243,1147.47135255854,635.684462475804,1437.39323077306,562.34540194729,943.003255212596,684.162311162665,806.447149418735,663.081219144304,1215.43198013891,911.643212049671,2561.60298069887,3241.04225875931,3094.77230542837,1001.19220691703,864.503363132923,7540.17274344921,793.276912167777
PF3D7_1137300,1407.03386372071,1921.13566022184,762.613168761867,1479.19100305619,1174.4463351126,3289.43065008552,1472.66759336245,1166.39016335423,4138.43669675518,2452.59955010385,2810.5911219866,2223.24322291473,2216.66314163571,2226.4244317766,1734.6086620491,2258.34915751911,2079.41050186662,2455.84843727973,2666.7508532852,948.607638167137,825.983661565173,1296.47457197203,2620.70548227065,1022.33901285145,3046.93830596519,4266.8888554457,1919.04844923408,2016.22942106354,1465.39513794825,2762.66823868822,1636.08679617809,2279.17955576135,1867.01155608624,1217.32681312187,1551.61383455626,1378.39101260388,1349.86084442275,1999.81838571864,1485.31405169479,1723.59491484715,2525.19317587532,1622.22789200406,3054.23215737208,2276.97561718092,2143.17659646698,2610.21163481554,1272.43232443451,1571.95123549264,1289.83802898671,1875.66310352683,1334.75034597517,1243.91219403825,1290.85733039338,1228.77344281909,1021.4773456768,1651.17248052707,1673.53881696695,3368.08425314421,4148.5056550643,3509.90301462017,1524.75987618385,1304.53275492195,12971.9045039371,1469.28702392778
PF3D7_1431400,3135.14072629491,3398.94067348948,1415.54314920476,2901.9929955509,2051.21003448957,31885.4745653874,1780.79425427911,2064.61771871231,7971.78395943674,5590.15915104879,3311.32912642641,5587.67583622635,6747.14684718363,4711.09518374029,3258.85018635471,3873.91681252356,4350.06110289015,4151.61854617309,3530.24913068589,5208.26670927694,1570.68729780673,2536.74332587923,3876.71947210752,4194.03549828029,4309.93279888888,14626.411581387,2842.90963667282,18829.7634673482,2013.09184864458,2584.63286983226,2941.11276390911,3037.97685049423,3625.3345921989,2453.00806763524,2716.37303928028,1841.15560491014,4547.84710850969,4245.09198272593,5841.19988397149,3110.55130304642,9265.20086393676,13336.0681548167,8033.35389157448,5175.52804077275,4696.30147964865,5599.8412344082,3815.91906563039,2839.1674781741,2672.51689487805,3895.97063754959,2382.85555679793,2307.86205081652,4025.25842834149,2322.32688233811,1790.13445773106,3746.8032029412,3273.40785868621,6112.94448410404,8412.99155248546,8215.03110252329,2461.65002849999,2781.07212870401,20321.8031980828,3098.80786951337
PF92,2231.40771147819,5420.09566688044,4934.56214119445,2562.62937533641,1630.58337883035,7831.6180533369,2404.14851729967,1224.77186377467,13519.5688100735,10180.7645672084,6491.01660251669,2613.15689794901,12501.9501171855,3286.38408608313,3190.74385952838,2876.20650538114,6122.83315660277,8920.97164822812,19167.5982983601,1048.37712041236,928.330521870073,2587.21985193298,3544.56274974931,2013.88109288603,5120.3332327791,10133.7100689144,2320.35202110006,6817.36211563165,3565.27872732848,18224.0117988391,3658.13193159166,18579.2217498706,5066.2430226255,2823.58212570517,9190.85185447171,5563.4145683467,4620.27936936107,9843.80804443011,13543.5228979048,3998.48481032694,6911.45956299676,4776.80248339804,23287.4938219368,69148.8266968176,3738.26302771271,4276.06778340961,1367.32814725953,1567.79237297474,1952.98703787552,11267.7806093858,1035.93826496172,2062.34202518092,1176.046081222,5423.51235346124,1571.38890408704,1362.8564819692,1485.74059989598,6341.34941020351,7661.75308757079,5493.39569459157,4462.7152725425,1717.55243463708,19623.4275891506,1585.69959149296
PFA0135W,395.474969013473,624.24914450058,569.519396283082,766.129425732771,735.166320967847,1352.75206896367,696.549532722424,539.998041244536,2152.14282390168,1193.16200893729,873.273589876276,1098.02137714208,901.431487981541,1642.38168688651,787.281328309485,1582.62553287235,938.864497291228,1154.02225035296,1075.09898881824,320.55001307717,582.358893023446,635.722002437567,1117.59369536916,521.018755108302,749.10898743542,3132.65388491038,990.658489866431,795.39623832805,400.772162591918,1244.0627992014,561.354085500242,1012.33114947021,646.865292497526,646.221700328769,572.401796250461,627.369897667376,578.825126966861,558.627839537161,682.221417086132,930.493146722095,637.351656517015,1360.8316155437,4437.90449647268,2145.41561245861,3451.3618651877,2638.31847504323,1415.18030992831,1438.09142675379,748.121211774094,3703.5252445404,632.180969904775,1583.14400286707,1004.01402197835,941.657763013552,1067.67068972163,1630.0829639813,1344.20738071064,2954.45930635683,3253.82920560221,2531.46245868873,1293.65049747096,849.494533490039,13230.965500713,752.113339061434
PFA0210c,1988.07533343809,3050.9894236719,1009.58475528022,1942.26071447872,1104.77597484458,3691.45981590048,1325.00773300352,946.656302381448,6077.77404469204,4319.69743619171,2622.27965900797,1994.51148446332,6223.01722213699,2802.43922775548,2029.471667563,2774.42745960318,2933.72022603122,3068.1026994931,3051.64929455262,1154.88302637897,1202.05092600871,1495.98221203856,2928.25563523034,1258.62164653128,4286.48988427662,12652.5287636509,1973.62920873767,1253.44700419156,1447.36357617627,2822.48140321689,1743.41902937281,1285.3902207405,2248.46957551331,1590.11144935174,1741.07207829356,1603.17912738517,1421.91690911204,1760.28811764025,1538.07474477302,2175.61578443621,3360.88546669458,1519.9721073728,5477.00321501073,3067.00959064208,2814.11478149536,7290.32390479748,1485.21025262508,1398.67539704929,2435.22630924653,2494.36566078611,1024.0472952985,2177.71754066397,1157.08031471617,1195.81312293496,1124.56908589166,1738.42584275976,2258.64511259586,4934.02350014141,6415.4919693553,5521.87880718767,1293.3439317104,1796.47029618891,24005.5127450955,1962.04708697672
PFA0445W,2622.71340308102,4614.6135914708,4620.46235633543,3526.59957116397,2169.33700188603,9655.10364352302,2371.78545218035,1523.90607888415,16001.1463450001,16552.9026214745,3898.21391638522,3102.78865001496,15574.8478005955,4958.42164853241,3230.14844524729,6171.92192166233,5735.54351599532,13886.7697903418,22889.1877911238,1428.60851891468,1123.43500250644,3066.21075337051,4831.29415788271,1836.92818490272,4361.2378747306,18723.4702138195,4820.71103500776,10431.3807266701,2404.30448135601,34772.2207603714,2421.82553990242,42198.2983053839,5370.78183253116,5474.4549187543,11669.1764906233,7194.53005601535,4561.75466037185,10938.2397897911,12741.3509254578,6994.45540385573,6166.80388659257,13365.172457838,18911.9842185536,64753.5933741526,4716.1354592542,3872.94093116263,1738.19281386716,1926.05270564527,2331.80859903848,17885.5620698174,1286.98314173138,2572.6198036926,2055.14603738931,5700.82692567951,1411.59677835279,3157.95431113078,2914.27230154557,7075.09368948143,9475.90971009075,7888.81264103141,2043.81235451345,2297.61561730158,13193.0039927758,2825.79628934067
PFD1130W,466.422223353926,914.812873838824,744.060409067911,924.53222009587,801.416788770604,1970.2621201438,592.034647924855,878.449758857326,1512.44407312523,1427.68626316887,1048.29442224388,1284.33482558243,1398.19152284609,1595.25389693835,1088.34306045641,1827.7225784825,1467.43520032708,1081.80378155792,1112.9019957685,417.948076769492,318.931419392957,588.752199008376,1825.15638175187,667.653941189536,1651.2822090866,2842.17890835598,1060.76744434577,499.936118971871,359.149036547835,979.504451611528,1810.47176958093,512.802780835083,849.610789826833,224.665752150611,600.06403406264,393.220349586572,478.558915418319,838.078019109296,1390.31567046596,1336.65502409893,2532.9610642151,1594.82464052991,4144.90836020278,1722.45672897084,3243.24882326867,2280.80568253334,884.432507431119,1078.76688107734,916.455150675737,2876.76970375125,449.711793324652,1357.68162330751,492.622331949764,1436.6806614867,936.012067753271,742.282396003134,1020.84815441269,3566.65090350093,3448.43680290213,2825.4975967145,2005.28265984247,751.98638018149,17610.5465969157,1004.85185676967
PFD1160W18,8392.74909775204,8176.52850676905,4731.99796157013,8227.53535799825,4192.04670378096,12770.5448428321,5440.03102753473,4901.04048310184,18037.1016855893,12092.5529344796,12617.7181722229,10985.3612077959,26006.3231502833,6776.91050363474,9923.90966294802,7055.36379926213,15065.3514803943,4828.05736812088,27397.378769078,5617.69535044268,2611.99376730661,8363.64644618885,7944.72982651806,6220.48913519271,8206.12538244598,15051.2781402878,6974.32759218423,6265.96875409545,11458.35016459,6372.95217102254,11532.6894549309,5771.66037180997,6186.56632827248,8097.97029919996,7105.45776307235,6843.73112473316,6767.35148099178,18375.9418463734,9428.85808130969,15895.2910132693,13749.5816706757,5311.66543585077,34279.3693231937,24369.9713531587,19729.9751484709,19147.8402453548,9244.43413154866,8902.40611193705,3151.53066065189,11375.1630886602,3927.73174590446,14558.1022707011,4907.45582393809,7133.43432067417,5653.24239101946,4845.18852361581,9365.23988545711,16377.0190954013,18437.6362814045,21137.6119512985,17491.488707615,15707.3608459202,23264.416791642,7927.78669129832
PFD1160W19,4097.60713397568,1951.80621615384,1651.70812538506,1036.05334363181,1694.99494024651,2523.63031208367,1113.00905210558,1820.80660793646,3979.47089814156,2856.9598635723,1474.02756001901,2863.6160723974,2782.9963169874,2181.75222870452,1972.84969405811,2853.32068537849,3569.76544032487,2199.93111231164,4732.18834547058,1549.78946549998,1181.47550065028,1254.09519473753,3856.33391169904,1949.98434036818,4214.07811906761,6002.12783950345,1833.92126729133,2638.46185656496,8348.43310577459,2422.5868175234,4969.09266650533,2345.25542978837,2206.52084313589,2120.78494381192,5292.60393269749,6400.3209392651,1825.8460815466,2682.75365293196,6507.03884570059,4216.82290740947,4006.45363391857,2399.57312890927,6349.80596894169,3388.2496894894,3665.33948213202,1335.01699071857,531.599958151752,579.481338707203,1230.46916017357,1740.3927154457,1826.96472942986,3817.5952808895,809.138556892875,1844.13132885785,1680.46252801851,1450.25797811027,2488.06138892589,3770.05661187401,2481.35181574786,3086.07133995174,1005.18609613813,3322.22161607201,8501.67951407261,1023.00145590284
PFSEA1,84396.9965985078,39648.9281696809,52839.6310549324,78109.8575356374,14082.4733448869,109462.305380766,30238.9223527902,126694.852640548,49740.4707905157,38561.9542256511,30899.025775115,21991.1628814981,99485.3824051273,69388.451535871,12839.4950820944,18162.5088368866,40275.4381131788,20861.1482031717,22651.9816648063,31893.3256544967,39040.3506621746,17227.4987374169,38525.8452217479,41484.7471619798,41766.3701512973,93801.6206292663,17366.2326447449,87892.7565003526,94719.687704036,14812.3367319863,53122.9324540229,105780.911097039,26107.9244577971,25374.3790705802,35103.2043381198,16474.1494446339,95624.163854213,67288.169392612,73722.8883811007,70811.6245063082,89035.4807962081,118263.795813051,52940.2580785725,95870.9165307306,62184.5305042769,76898.2347020444,61176.7347311932,16545.045498329,55811.4671564616,39816.1722003565,15566.1953380579,36729.0904046313,110095.021973221,14599.1483229292,13607.4188427693,19079.4135578025,73006.5556914539,22173.009290241705,57475.3151477818,79977.8947163042,36742.6385609813,18006.0891925921,66874.9086008982,8538.41421880724
PTEX150,194537.51751719,70917.5366117726,13658.9396271931,86172.4791433012,3552.53092597685,130764.376562905,41800.7608396607,287948.506740823,71461.1224593774,44819.9658794912,75270.9574843765,25318.8931441223,69718.6893371222,53103.9530566679,34167.6915874212,26662.3102084908,125816.822084695,124158.207969834,20719.3199069858,104377.762806253,63256.5951497927,26616.3587303654,70909.7030634121,60073.0585670581,63483.8513559939,83006.4425952442,27953.633587594,143008.275196402,34048.3634673893,12959.7438858821,76841.3701196271,360003.228828383,90563.0036075444,85257.782384766,9181.02020631652,65233.6702216021,203898.645768588,77960.9655580836,158837.347584917,125319.909110145,132796.893714607,24273.9021434905,140562.538123349,83708.1718998112,69964.343207804,167407.246194468,88694.0458978993,63238.2211974746,32087.1507619068,92089.7884524633,2659.31498490474,26519.9353582094,194009.945296899,4357.56670714768,3002.17380872342,5779.323704168,29634.7628841263,40793.2375968022,122162.62174284,159889.618668548,63502.1724786615,26741.3075461942,198413.069834847,21843.8264829252
PTRAMP,2735.37721219324,3216.18052354739,987.192909615022,1581.67954928166,1166.97731834273,5395.35769263802,1904.50331579983,1325.65995218946,9858.44399270097,4398.16612423803,5424.21619285546,2893.61495357825,5915.19884521478,3371.62030290197,3177.99189189383,3946.27435115271,4978.01854230387,3184.34678074,5288.07262495396,1272.99174473657,743.309304334163,2329.69582612711,4180.91613480371,2316.04875430457,3630.36798319439,7727.30522739494,2860.01553236452,2215.14557619071,3027.30069848704,3509.65151108331,3172.71684470658,4759.80996782656,3071.26553139497,2766.95008115933,1843.41661842401,2609.14535773233,2031.20981602481,3386.00615864673,2722.63402394483,5739.3026863502,4982.53274262196,1704.09756337639,6700.6005765762,2698.14362559988,3524.25920351305,6511.80598351105,1708.66589724359,1921.0737913934,2088.98441524354,3540.32406892065,1174.92366113195,2096.35830774679,1247.73318391446,1434.394964269,1096.51389926811,1770.48735193529,3151.32085579837,6693.24558984961,7690.92209353977,5224.18689148189,2563.02461690433,2122.13923706613,23854.0411356879,3614.26645754059
RAMA,12103.5001222771,8623.63761846455,3403.45615457721,21540.1557289797,2307.6787913402,193893.084282967,2726.352059563,6889.99028190137,39692.7857902411,20731.4647966941,75121.391916662,5592.53674785221,12689.0923939396,9580.61533822518,22207.7047161134,5630.73444612351,13523.5678413623,9058.18226114494,15195.8171678316,3014.72198812736,3173.06440709245,5089.62730092841,60453.2944394079,17093.8535052848,14672.0522640615,24863.4463393926,4672.58185126986,27570.013837508,14842.9205011617,11209.2433880174,8427.96571092672,8355.02325942845,9961.7125261546,4514.89557126677,3582.45177293462,6001.91903213811,22716.8659056291,17149.7352321997,11423.1905775681,24020.239079705,53095.847936055,5712.80110508187,18996.6357466524,6730.8493778568,55646.1988764083,9324.38885905381,24934.7764972563,2272.8335081896,6100.36224232905,97585.7150325196,2316.51900043803,17654.5316579337,2565.66777360246,3090.08874829102,2087.48971520027,3058.11309005027,51861.7507917939,12619.6479311045,19488.373201619,32837.6867921804,3644.66513069513,7031.25989721462,77975.3104959921,11640.328874897
RH1,1055.32873843475,55401.2534692327,1535.25442342347,1417.47468796224,1694.8720971815,83866.0156034094,1184.17699298116,1040.48198959203,5300.52330511022,5171.21449479336,2598.51474089178,1917.48906897008,5834.38672410454,2518.22577543325,2219.71214102521,3222.19512197395,3002.33918748181,4601.64096149374,4146.09778237127,642.194955596929,1055.41706692915,1650.36013325338,14666.747413064,1203.66513469977,9513.43745562778,56315.9391056859,1466.29388599528,1956.31945508763,857.258319684875,7754.49249222816,2621.77606436914,1804.32473543526,30176.1452648975,1302.87879485485,2807.14376183403,2139.15425454266,2023.25318969181,5009.72322205887,10991.2813501991,2764.08493110134,16020.1224049715,1158.94466676834,6266.93530238017,5427.53194008378,2409.8871060381,5145.89602619553,1681.38038183801,1077.64692474753,1527.03353293805,2536.79001010961,1174.96846114771,1238.71427634993,1172.9841224406,2271.43082185123,1559.26957539817,2229.07382847192,2096.80079934016,5631.93328710984,7887.06503877839,4278.94013803029,2348.08556785393,1899.72472058842,6734.07378822689,2899.91396029519
RH2b,851.57185256012,1432.35484448642,1537.78623547181,1445.12302651225,1037.10057713592,1727.47555060262,1521.86402416682,911.736693839909,2398.80228786238,3399.69261518437,1604.80869165774,840.950210555621,4135.2349192394,1936.56766364837,1449.92842303869,1708.17354382768,1213.73977856029,6174.57716515258,3193.36203783314,570.007426190449,760.480531856301,1468.86219624405,1938.50908458366,594.675813647191,1142.40965398896,3877.11898712542,1017.80683302308,2298.2788592347,901.823024922111,13879.1270495514,975.010307643609,4041.71003883034,1874.63844998013,1073.77408330179,5611.4144966757,1431.44391064499,1681.74066843457,2592.60500563644,4281.84930385775,2788.69840029684,1925.06338007171,1342.44123441843,5856.16303634656,8899.53272221838,1437.74287062129,1218.79760381661,697.232360276186,538.181136508181,955.200837401371,2779.27084674852,696.544580509121,740.71871776907,734.220698749097,1152.02930726714,644.965612200448,1102.54972029182,810.154968416845,2156.14352063382,3648.22743500528,2282.9122787259,714.405504858328,894.674678329072,2719.83820119699,716.020564512538
